time;model_id;model_name;port_name;data
8.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
8.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
8.5;5;adder;;{noise: -13.2227, n1: 0, n2: 0, sum: -13.2227, sigma: 0}
8.5;6;noise;noise_out;-13.2227
8.5;6;noise;;{value: 6.01783, sigma: 0.1}
8.5;1;electrode;;{input: -13.2227, threshold: 25, sigma: inf}
8.5;5;adder;sum_out;-13.2227
8.5;5;adder;;{noise: -13.2227, n1: 0, n2: 0, sum: -13.2227, sigma: inf}
8.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
8.6;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
8.6;5;adder;;{noise: 6.01783, n1: 0, n2: 0, sum: 6.01783, sigma: 0}
8.6;6;noise;noise_out;6.01783
8.6;6;noise;;{value: -6.79827, sigma: 0.1}
8.6;1;electrode;;{input: 6.01783, threshold: 25, sigma: inf}
8.6;5;adder;sum_out;6.01783
8.6;5;adder;;{noise: 6.01783, n1: 0, n2: 0, sum: 6.01783, sigma: inf}
8.7;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
8.7;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
8.7;5;adder;;{noise: -6.79827, n1: 0, n2: 0, sum: -6.79827, sigma: 0}
8.7;6;noise;noise_out;-6.79827
8.7;6;noise;;{value: 5.26986, sigma: 0.1}
8.7;1;electrode;;{input: -6.79827, threshold: 25, sigma: inf}
8.7;5;adder;sum_out;-6.79827
8.7;5;adder;;{noise: -6.79827, n1: 0, n2: 0, sum: -6.79827, sigma: inf}
8.8;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
8.8;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
8.8;5;adder;;{noise: 5.26986, n1: 0, n2: 0, sum: 5.26986, sigma: 0}
8.8;6;noise;noise_out;5.26986
8.8;6;noise;;{value: 2.80958, sigma: 0.1}
8.8;1;electrode;;{input: 5.26986, threshold: 25, sigma: inf}
8.8;5;adder;sum_out;5.26986
8.8;5;adder;;{noise: 5.26986, n1: 0, n2: 0, sum: 5.26986, sigma: inf}
