time;model_id;model_name;port_name;data
1.4;1;electrode;;{input: -12.2208, threshold: 55, sigma: inf}
1.4;5;adder;sum_out;-12.2208
1.4;5;adder;;{noise: -12.2208, n1: 0, n2: 0, sum: -12.2208, sigma: inf}
1.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
1.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.5}
1.5;5;adder;;{noise: -6.48014, n1: 0, n2: 0, sum: -6.48014, sigma: 0}
1.5;6;noise;noise_out;-6.48014
1.5;6;noise;;{value: -2.01665, sigma: 0.1}
1.5;1;electrode;;{input: -6.48014, threshold: 55, sigma: inf}
1.5;5;adder;sum_out;-6.48014
1.5;5;adder;;{noise: -6.48014, n1: 0, n2: 0, sum: -6.48014, sigma: inf}
1.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
1.6;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.4}
1.6;5;adder;;{noise: -2.01665, n1: 0, n2: 0, sum: -2.01665, sigma: 0}
1.6;6;noise;noise_out;-2.01665
1.6;6;noise;;{value: -2.89981, sigma: 0.1}
1.6;1;electrode;;{input: -2.01665, threshold: 55, sigma: inf}
1.6;5;adder;sum_out;-2.01665
1.6;5;adder;;{noise: -2.01665, n1: 0, n2: 0, sum: -2.01665, sigma: inf}
1.7;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
1.7;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.3}
1.7;5;adder;;{noise: -2.89981, n1: 0, n2: 0, sum: -2.89981, sigma: 0}
1.7;6;noise;noise_out;-2.89981
1.7;6;noise;;{value: 3.0044, sigma: 0.1}
1.7;1;electrode;;{input: -2.89981, threshold: 55, sigma: inf}
1.7;5;adder;sum_out;-2.89981
1.7;5;adder;;{noise: -2.89981, n1: 0, n2: 0, sum: -2.89981, sigma: inf}
1.8;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
1.8;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
1.8;5;adder;;{noise: 3.0044, n1: 0, n2: 0, sum: 3.0044, sigma: 0}
1.8;6;noise;noise_out;3.0044
1.8;6;noise;;{value: -5.61367, sigma: 0.1}
1.8;1;electrode;;{input: 3.0044, threshold: 55, sigma: inf}
1.8;5;adder;sum_out;3.0044
1.8;5;adder;;{noise: 3.0044, n1: 0, n2: 0, sum: 3.0044, sigma: inf}
1.9;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
1.9;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
1.9;5;adder;;{noise: -5.61367, n1: 0, n2: 0, sum: -5.61367, sigma: 0}
1.9;6;noise;noise_out;-5.61367
1.9;6;noise;;{value: 0.734839, sigma: 0.1}
1.9;1;electrode;;{input: -5.61367, threshold: 55, sigma: inf}
1.9;5;adder;sum_out;-5.61367
1.9;5;adder;;{noise: -5.61367, n1: 0, n2: 0, sum: -5.61367, sigma: inf}
2;3;neuron2;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
2;4;neuron1;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
2;5;adder;;{noise: 0.734839, n1: 0, n2: 0, sum: 0.734839, sigma: 0}
2;6;noise;noise_out;0.734839
2;6;noise;;{value: -10.4008, sigma: 0.1}
2;1;electrode;;{input: 0.734839, threshold: 55, sigma: inf}
2;5;adder;sum_out;0.734839
2;5;adder;;{noise: 0.734839, n1: 0, n2: 0, sum: 0.734839, sigma: inf}
2.1;3;neuron2;potential_out;30
2.1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
2.1;4;neuron1;potential_out;30
2.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
2.1;5;adder;;{noise: -10.4008, n1: 30, n2: 30, sum: 39.0992, sigma: 0}
2.1;6;noise;noise_out;-10.4008
2.1;6;noise;;{value: -18.1077, sigma: 0.1}
2.1;1;electrode;;{input: 39.0992, threshold: 55, sigma: inf}
2.1;5;adder;sum_out;39.0992
2.1;5;adder;;{noise: -10.4008, n1: 30, n2: 30, sum: 39.0992, sigma: inf}
2.2;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
2.2;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
2.2;5;adder;;{noise: -18.1077, n1: 0, n2: 0, sum: -18.1077, sigma: 0}
2.2;6;noise;noise_out;-18.1077
2.2;6;noise;;{value: 18.0086, sigma: 0.1}
2.2;1;electrode;;{input: -18.1077, threshold: 55, sigma: inf}
2.2;5;adder;sum_out;-18.1077
2.2;5;adder;;{noise: -18.1077, n1: 0, n2: 0, sum: -18.1077, sigma: inf}
2.3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
2.3;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
2.3;5;adder;;{noise: 18.0086, n1: 0, n2: 0, sum: 18.0086, sigma: 0}
2.3;6;noise;noise_out;18.0086
2.3;6;noise;;{value: -10.5618, sigma: 0.1}
2.3;1;electrode;;{input: 18.0086, threshold: 55, sigma: inf}
2.3;5;adder;sum_out;18.0086
2.3;5;adder;;{noise: 18.0086, n1: 0, n2: 0, sum: 18.0086, sigma: inf}
2.4;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
2.4;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
2.4;5;adder;;{noise: -10.5618, n1: 0, n2: 0, sum: -10.5618, sigma: 0}
2.4;6;noise;noise_out;-10.5618
2.4;6;noise;;{value: -1.13184, sigma: 0.1}
2.4;1;electrode;;{input: -10.5618, threshold: 55, sigma: inf}
2.4;5;adder;sum_out;-10.5618
2.4;5;adder;;{noise: -10.5618, n1: 0, n2: 0, sum: -10.5618, sigma: inf}
2.5;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
2.5;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
2.5;5;adder;;{noise: -1.13184, n1: 0, n2: 0, sum: -1.13184, sigma: 0}
2.5;6;noise;noise_out;-1.13184
2.5;6;noise;;{value: 12.3028, sigma: 0.1}
2.5;1;electrode;;{input: -1.13184, threshold: 55, sigma: inf}
2.5;5;adder;sum_out;-1.13184
2.5;5;adder;;{noise: -1.13184, n1: 0, n2: 0, sum: -1.13184, sigma: inf}
2.6;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
2.6;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
2.6;5;adder;;{noise: 12.3028, n1: 0, n2: 0, sum: 12.3028, sigma: 0}
2.6;6;noise;noise_out;12.3028
2.6;6;noise;;{value: -4.24027, sigma: 0.1}
2.6;1;electrode;;{input: 12.3028, threshold: 55, sigma: inf}
2.6;5;adder;sum_out;12.3028
2.6;5;adder;;{noise: 12.3028, n1: 0, n2: 0, sum: 12.3028, sigma: inf}
2.7;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
2.7;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
2.7;5;adder;;{noise: -4.24027, n1: 0, n2: 0, sum: -4.24027, sigma: 0}
2.7;6;noise;noise_out;-4.24027
2.7;6;noise;;{value: 5.8284, sigma: 0.1}
2.7;1;electrode;;{input: -4.24027, threshold: 55, sigma: inf}
2.7;5;adder;sum_out;-4.24027
2.7;5;adder;;{noise: -4.24027, n1: 0, n2: 0, sum: -4.24027, sigma: inf}
2.8;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
2.8;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
2.8;5;adder;;{noise: 5.8284, n1: 0, n2: 0, sum: 5.8284, sigma: 0}
2.8;6;noise;noise_out;5.8284
2.8;6;noise;;{value: 24.2029, sigma: 0.1}
2.8;1;electrode;;{input: 5.8284, threshold: 55, sigma: inf}
2.8;5;adder;sum_out;5.8284
2.8;5;adder;;{noise: 5.8284, n1: 0, n2: 0, sum: 5.8284, sigma: inf}
2.9;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
2.9;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
2.9;5;adder;;{noise: 24.2029, n1: 0, n2: 0, sum: 24.2029, sigma: 0}
2.9;6;noise;noise_out;24.2029
2.9;6;noise;;{value: -1.36546, sigma: 0.1}
2.9;1;electrode;;{input: 24.2029, threshold: 55, sigma: inf}
2.9;5;adder;sum_out;24.2029
2.9;5;adder;;{noise: 24.2029, n1: 0, n2: 0, sum: 24.2029, sigma: inf}
3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
3;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
3;5;adder;;{noise: -1.36546, n1: 0, n2: 0, sum: -1.36546, sigma: 0}
3;6;noise;noise_out;-1.36546
3;6;noise;;{value: 11.0593, sigma: 0.1}
3;1;electrode;;{input: -1.36546, threshold: 55, sigma: inf}
3;5;adder;sum_out;-1.36546
3;5;adder;;{noise: -1.36546, n1: 0, n2: 0, sum: -1.36546, sigma: inf}
3.1;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
3.1;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
3.1;5;adder;;{noise: 11.0593, n1: 0, n2: 0, sum: 11.0593, sigma: 0}
3.1;6;noise;noise_out;11.0593
3.1;6;noise;;{value: -0.54769, sigma: 0.1}
3.1;1;electrode;;{input: 11.0593, threshold: 55, sigma: inf}
3.1;5;adder;sum_out;11.0593
3.1;5;adder;;{noise: 11.0593, n1: 0, n2: 0, sum: 11.0593, sigma: inf}
3.2;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
3.2;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
3.2;5;adder;;{noise: -0.54769, n1: 0, n2: 0, sum: -0.54769, sigma: 0}
3.2;6;noise;noise_out;-0.54769
3.2;6;noise;;{value: -19.123, sigma: 0.1}
3.2;1;electrode;;{input: -0.54769, threshold: 55, sigma: inf}
3.2;5;adder;sum_out;-0.54769
3.2;5;adder;;{noise: -0.54769, n1: 0, n2: 0, sum: -0.54769, sigma: inf}
3.3;3;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
3.3;4;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
3.3;5;adder;;{noise: -19.123, n1: 0, n2: 0, sum: -19.123, sigma: 0}
3.3;6;noise;noise_out;-19.123
