time;model_id;model_name;port_name;data
1.8;3;adder;;{noise: 0.368755, n1: 0, n2: 0, sum: 0.368755, sigma: inf}
1.9;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
1.9;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.2}
1.9;3;adder;;{noise: 4.49306, n1: 0, n2: 0, sum: 4.49306, sigma: 0}
1.9;4;noise;noise_out;4.49306
1.9;4;noise;;{value: 2.70362, sigma: 0.1}
1.9;3;adder;sum_out;4.49306
1.9;3;adder;;{noise: 4.49306, n1: 0, n2: 0, sum: 4.49306, sigma: inf}
2;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.1}
2;3;adder;;{noise: 2.70362, n1: 0, n2: 0, sum: 2.70362, sigma: 0}
2;4;noise;noise_out;2.70362
2;4;noise;;{value: -15.6244, sigma: 0.1}
2;3;adder;sum_out;2.70362
2;3;adder;;{noise: 2.70362, n1: 0, n2: 0, sum: 2.70362, sigma: inf}
2.1;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.1;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.1;3;adder;;{noise: -15.6244, n1: 0, n2: 0, sum: -15.6244, sigma: 0}
2.1;4;noise;noise_out;-15.6244
2.1;4;noise;;{value: 1.03025, sigma: 0.1}
2.1;3;adder;sum_out;-15.6244
2.1;3;adder;;{noise: -15.6244, n1: 0, n2: 0, sum: -15.6244, sigma: inf}
2.2;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.2;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.2;3;adder;;{noise: 1.03025, n1: 0, n2: 0, sum: 1.03025, sigma: 0}
2.2;4;noise;noise_out;1.03025
2.2;4;noise;;{value: -2.85448, sigma: 0.1}
2.2;3;adder;sum_out;1.03025
2.2;3;adder;;{noise: 1.03025, n1: 0, n2: 0, sum: 1.03025, sigma: inf}
2.3;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.3;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.3;3;adder;;{noise: -2.85448, n1: 0, n2: 0, sum: -2.85448, sigma: 0}
2.3;4;noise;noise_out;-2.85448
2.3;4;noise;;{value: -7.46143, sigma: 0.1}
2.3;3;adder;sum_out;-2.85448
2.3;3;adder;;{noise: -2.85448, n1: 0, n2: 0, sum: -2.85448, sigma: inf}
2.4;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.4;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.4;3;adder;;{noise: -7.46143, n1: 0, n2: 0, sum: -7.46143, sigma: 0}
2.4;4;noise;noise_out;-7.46143
2.4;4;noise;;{value: -10.2369, sigma: 0.1}
2.4;3;adder;sum_out;-7.46143
2.4;3;adder;;{noise: -7.46143, n1: 0, n2: 0, sum: -7.46143, sigma: inf}
2.5;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.5;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.5;3;adder;;{noise: -10.2369, n1: 0, n2: 0, sum: -10.2369, sigma: 0}
2.5;4;noise;noise_out;-10.2369
2.5;4;noise;;{value: 5.13385, sigma: 0.1}
2.5;3;adder;sum_out;-10.2369
2.5;3;adder;;{noise: -10.2369, n1: 0, n2: 0, sum: -10.2369, sigma: inf}
2.6;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.6;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.6;3;adder;;{noise: 5.13385, n1: 0, n2: 0, sum: 5.13385, sigma: 0}
2.6;4;noise;noise_out;5.13385
2.6;4;noise;;{value: 0.155887, sigma: 0.1}
2.6;3;adder;sum_out;5.13385
2.6;3;adder;;{noise: 5.13385, n1: 0, n2: 0, sum: 5.13385, sigma: inf}
2.7;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.7;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.7;3;adder;;{noise: 0.155887, n1: 0, n2: 0, sum: 0.155887, sigma: 0}
2.7;4;noise;noise_out;0.155887
2.7;4;noise;;{value: 2.83422, sigma: 0.1}
2.7;3;adder;sum_out;0.155887
2.7;3;adder;;{noise: 0.155887, n1: 0, n2: 0, sum: 0.155887, sigma: inf}
2.8;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.8;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.8;3;adder;;{noise: 2.83422, n1: 0, n2: 0, sum: 2.83422, sigma: 0}
2.8;4;noise;noise_out;2.83422
2.8;4;noise;;{value: -6.45726, sigma: 0.1}
2.8;3;adder;sum_out;2.83422
2.8;3;adder;;{noise: 2.83422, n1: 0, n2: 0, sum: 2.83422, sigma: inf}
2.9;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.9;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
2.9;3;adder;;{noise: -6.45726, n1: 0, n2: 0, sum: -6.45726, sigma: 0}
2.9;4;noise;noise_out;-6.45726
2.9;4;noise;;{value: -16.3554, sigma: 0.1}
2.9;3;adder;sum_out;-6.45726
2.9;3;adder;;{noise: -6.45726, n1: 0, n2: 0, sum: -6.45726, sigma: inf}
3;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
3;2;neuron1;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
3;3;adder;;{noise: -16.3554, n1: 0, n2: 0, sum: -16.3554, sigma: 0}
3;4;noise;noise_out;-16.3554
3;4;noise;;{value: -1.1553, sigma: 0.1}
3;3;adder;sum_out;-16.3554
3;3;adder;;{noise: -16.3554, n1: 0, n2: 0, sum: -16.3554, sigma: inf}
3.1;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
3.1;2;neuron1;potential_out;30
3.1;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
3.1;3;adder;;{noise: -1.1553, n1: 30, n2: 0, sum: 25.8447, sigma: 0}
3.1;4;noise;noise_out;-1.1553
3.1;4;noise;;{value: 14.3075, sigma: 0.1}
3.1;3;adder;sum_out;25.8447
3.1;3;adder;;{noise: -1.1553, n1: 30, n2: 0, sum: 25.8447, sigma: inf}
3.2;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0}
3.2;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
3.2;3;adder;;{noise: 14.3075, n1: 0, n2: 0, sum: 14.3075, sigma: 0}
3.2;4;noise;noise_out;14.3075
3.2;4;noise;;{value: -3.70873, sigma: 0.1}
3.2;3;adder;sum_out;14.3075
3.2;3;adder;;{noise: 14.3075, n1: 0, n2: 0, sum: 14.3075, sigma: inf}
3.3;1;neuron2;;{emit_spike: 1, V: 30, sigma: 0.1, refractory: 2}
3.3;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
3.3;3;adder;;{noise: -3.70873, n1: 0, n2: 0, sum: -3.70873, sigma: 0}
3.3;4;noise;noise_out;-3.70873
3.3;4;noise;;{value: 7.98027, sigma: 0.1}
3.3;3;adder;sum_out;-3.70873
3.3;3;adder;;{noise: -3.70873, n1: 0, n2: 0, sum: -3.70873, sigma: inf}
3.4;1;neuron2;potential_out;30
3.4;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.9}
3.4;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
3.4;3;adder;;{noise: 7.98027, n1: 0, n2: 30, sum: 30.4803, sigma: 0}
3.4;4;noise;noise_out;7.98027
3.4;4;noise;;{value: 8.50809, sigma: 0.1}
3.4;3;adder;sum_out;30.4803
3.4;3;adder;;{noise: 7.98027, n1: 0, n2: 30, sum: 30.4803, sigma: inf}
3.5;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.8}
3.5;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
3.5;3;adder;;{noise: 8.50809, n1: 0, n2: 0, sum: 8.50809, sigma: 0}
3.5;4;noise;noise_out;8.50809
3.5;4;noise;;{value: 12.9811, sigma: 0.1}
3.5;3;adder;sum_out;8.50809
3.5;3;adder;;{noise: 8.50809, n1: 0, n2: 0, sum: 8.50809, sigma: inf}
3.6;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.7}
3.6;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
3.6;3;adder;;{noise: 12.9811, n1: 0, n2: 0, sum: 12.9811, sigma: 0}
3.6;4;noise;noise_out;12.9811
3.6;4;noise;;{value: -6.09137, sigma: 0.1}
3.6;3;adder;sum_out;12.9811
3.6;3;adder;;{noise: 12.9811, n1: 0, n2: 0, sum: 12.9811, sigma: inf}
3.7;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.6}
3.7;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
3.7;3;adder;;{noise: -6.09137, n1: 0, n2: 0, sum: -6.09137, sigma: 0}
3.7;4;noise;noise_out;-6.09137
3.7;4;noise;;{value: 16.0462, sigma: 0.1}
3.7;3;adder;sum_out;-6.09137
3.7;3;adder;;{noise: -6.09137, n1: 0, n2: 0, sum: -6.09137, sigma: inf}
3.8;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.5}
3.8;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
3.8;3;adder;;{noise: 16.0462, n1: 0, n2: 0, sum: 16.0462, sigma: 0}
3.8;4;noise;noise_out;16.0462
3.8;4;noise;;{value: -11.6844, sigma: 0.1}
3.8;3;adder;sum_out;16.0462
3.8;3;adder;;{noise: 16.0462, n1: 0, n2: 0, sum: 16.0462, sigma: inf}
3.9;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.4}
3.9;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
3.9;3;adder;;{noise: -11.6844, n1: 0, n2: 0, sum: -11.6844, sigma: 0}
3.9;4;noise;noise_out;-11.6844
3.9;4;noise;;{value: -5.46047, sigma: 0.1}
3.9;3;adder;sum_out;-11.6844
3.9;3;adder;;{noise: -11.6844, n1: 0, n2: 0, sum: -11.6844, sigma: inf}
4;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.3}
4;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
4;3;adder;;{noise: -5.46047, n1: 0, n2: 0, sum: -5.46047, sigma: 0}
4;4;noise;noise_out;-5.46047
4;4;noise;;{value: -22.7458, sigma: 0.1}
4;3;adder;sum_out;-5.46047
4;3;adder;;{noise: -5.46047, n1: 0, n2: 0, sum: -5.46047, sigma: inf}
4.1;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.2}
4.1;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
4.1;3;adder;;{noise: -22.7458, n1: 0, n2: 0, sum: -22.7458, sigma: 0}
4.1;4;noise;noise_out;-22.7458
4.1;4;noise;;{value: -8.93922, sigma: 0.1}
4.1;3;adder;sum_out;-22.7458
4.1;3;adder;;{noise: -22.7458, n1: 0, n2: 0, sum: -22.7458, sigma: inf}
4.2;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1.1}
4.2;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.8}
4.2;3;adder;;{noise: -8.93922, n1: 0, n2: 0, sum: -8.93922, sigma: 0}
4.2;4;noise;noise_out;-8.93922
4.2;4;noise;;{value: 1.38675, sigma: 0.1}
4.2;3;adder;sum_out;-8.93922
4.2;3;adder;;{noise: -8.93922, n1: 0, n2: 0, sum: -8.93922, sigma: inf}
4.3;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 1}
4.3;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.7}
4.3;3;adder;;{noise: 1.38675, n1: 0, n2: 0, sum: 1.38675, sigma: 0}
4.3;4;noise;noise_out;1.38675
4.3;4;noise;;{value: 0.761501, sigma: 0.1}
4.3;3;adder;sum_out;1.38675
4.3;3;adder;;{noise: 1.38675, n1: 0, n2: 0, sum: 1.38675, sigma: inf}
4.4;1;neuron2;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.9}
4.4;2;neuron1;;{emit_spike: 0, V: -70, sigma: 0.1, refractory: 0.6}
4.4;3;adder;;{noise: 0.761501, n1: 0, n2: 0, sum: 0.761501, sigma: 0}
4.4;4;noise;noise_out;0.761501
